ID,Name,Age,Rank,Unit,FitnessScore,YearsOfService,PromotionEligible
101,Raj Deshmukh,42,Colonel,Gorkha Rifles,77,21,0
102,Karan Verma,47,Major,Maratha Light Infantry,79,8,1
103,Manoj Yadav,35,Lieutenant,Signals Corps,85,5,1
104,Manoj Singh,50,Captain,Sikh Regiment,93,14,1
105,Sandeep Kumar,31,Captain,Grenadiers,73,10,0
106,Arjun Yadav,30,Captain,Mechanised Infantry,70,8,0
107,Vikram Singh,36,Lieutenant,Grenadiers,88,11,1
108,Arjun Deshmukh,53,Colonel,Maratha Light Infantry,58,29,0
109,Amit Kumar,29,Major,Para SF,94,5,1
110,Arjun Thakur,30,Colonel,Mechanised Infantry,93,3,1
111,Sandeep Thakur,38,Major,Maratha Light Infantry,76,3,0
112,Ravi Singh,48,Lieutenant,Maratha Light Infantry,58,18,0
113,Amit Verma,32,Major,Grenadiers,93,4,1
114,Karan Kumar,49,Lieutenant,Sikh Regiment,88,28,1
115,Vikram Deshmukh,33,Colonel,Rajput Regiment,69,4,0
116,Sandeep Yadav,32,Captain,Para SF,96,5,1
117,Amit Choudhary,34,Captain,Signals Corps,75,12,0
118,Karan Deshmukh,49,Lieutenant,Mechanised Infantry,99,27,1
119,Karan Deshmukh,32,Lieutenant,Gorkha Rifles,95,11,1
120,Amit Choudhary,33,Major,Mechanised Infantry,66,10,0
121,Raj Sharma,53,Lieutenant,Para SF,85,19,1
122,Vikram Sharma,41,Captain,Para SF,71,14,0
123,Vikram Mehra,45,Lieutenant Colonel,Mechanised Infantry,81,13,0
124,Karan Yadav,40,Major,Mechanised Infantry,70,11,0
125,Amit Deshmukh,45,Captain,Sikh Regiment,50,20,0
126,Karan Kumar,45,Lieutenant Colonel,Grenadiers,88,18,1
127,Arjun Singh,48,Major,Maratha Light Infantry,77,25,0
128,Deepak Singh,37,Lieutenant,Para SF,70,16,0
129,Sandeep Verma,39,Major,Grenadiers,98,5,1
130,Ravi Sharma,38,Lieutenant,Maratha Light Infantry,84,3,0
131,Deepak Kumar,39,Colonel,Mechanised Infantry,97,10,1
132,Karan Mehra,54,Lieutenant Colonel,Grenadiers,62,14,0
133,Vikram Verma,48,Lieutenant,Grenadiers,53,2,0
134,Deepak Verma,36,Colonel,Grenadiers,63,9,0
135,Manoj Singh,39,Major,Rajput Regiment,72,18,0
136,Amit Mehra,41,Lieutenant,Sikh Regiment,94,16,1
137,Arjun Deshmukh,42,Captain,Mechanised Infantry,78,3,0
138,Deepak Verma,43,Lieutenant,Signals Corps,96,8,1
139,Raj Sharma,29,Lieutenant Colonel,Signals Corps,92,5,1
140,Vikram Choudhary,25,Lieutenant,Maratha Light Infantry,52,3,0
141,Ravi Sharma,29,Colonel,Mechanised Infantry,99,5,1
142,Karan Rathore,29,Lieutenant,Rajput Regiment,75,3,0
143,Raj Thakur,24,Lieutenant Colonel,Gorkha Rifles,56,1,0
144,Manoj Verma,48,Captain,Gorkha Rifles,96,25,1
145,Ravi Verma,42,Colonel,Para SF,51,1,0
146,Anil Deshmukh,28,Colonel,Rajput Regiment,65,7,0
147,Vikram Deshmukh,46,Lieutenant Colonel,Maratha Light Infantry,52,19,0
148,Deepak Yadav,51,Captain,Rajput Regiment,96,13,1
149,Karan Sharma,30,Captain,Mechanised Infantry,86,6,1
150,Amit Kumar,24,Colonel,Sikh Regiment,84,1,0
151,Arjun Deshmukh,36,Colonel,Grenadiers,51,13,0
152,Anil Singh,25,Lieutenant,Rajput Regiment,54,4,0
153,Karan Sharma,32,Lieutenant,Mechanised Infantry,74,10,0
154,Arjun Rathore,41,Major,Grenadiers,97,13,1
155,Raj Verma,48,Major,Sikh Regiment,89,20,1
156,Anil Yadav,36,Captain,Mechanised Infantry,80,15,1
157,Arjun Verma,30,Colonel,Para SF,56,6,0
158,Vikram Deshmukh,41,Lieutenant,Mechanised Infantry,53,19,0
159,Deepak Choudhary,47,Lieutenant Colonel,Signals Corps,95,24,1
160,Karan Sharma,44,Lieutenant Colonel,Rajput Regiment,96,16,1
161,Karan Yadav,46,Lieutenant,Signals Corps,81,25,1
162,Karan Singh,53,Lieutenant,Grenadiers,97,14,0
163,Karan Kumar,31,Captain,Signals Corps,72,5,0
164,Ravi Mehra,53,Lieutenant Colonel,Sikh Regiment,91,16,1
165,Deepak Thakur,44,Lieutenant Colonel,Para SF,76,14,0
166,Raj Sharma,26,Colonel,Mechanised Infantry,61,1,0
167,Ravi Singh,33,Lieutenant Colonel,Sikh Regiment,99,6,1
168,Karan Rathore,53,Lieutenant,Maratha Light Infantry,78,13,0
169,Amit Thakur,52,Lieutenant Colonel,Signals Corps,95,2,0
170,Sandeep Sharma,55,Captain,Signals Corps,97,2,0
171,Vikram Yadav,25,Captain,Signals Corps,90,2,0
172,Ravi Verma,48,Lieutenant,Rajput Regiment,95,19,1
173,Raj Kumar,27,Lieutenant,Sikh Regiment,90,6,0
174,Sandeep Verma,37,Captain,Para SF,87,16,1
175,Ravi Choudhary,47,Lieutenant Colonel,Maratha Light Infantry,84,12,0
176,Arjun Choudhary,49,Colonel,Grenadiers,79,26,0
177,Amit Sharma,34,Lieutenant Colonel,Gorkha Rifles,91,11,1
178,Ravi Sharma,24,Lieutenant,Maratha Light Infantry,50,1,0
179,Arjun Thakur,39,Major,Mechanised Infantry,92,16,1
180,Sandeep Mehra,54,Major,Signals Corps,95,15,1
181,Karan Kumar,44,Captain,Para SF,52,13,0
182,Raj Verma,31,Captain,Mechanised Infantry,85,7,0
183,Manoj Choudhary,29,Colonel,Signals Corps,55,5,0
184,Ravi Choudhary,44,Lieutenant Colonel,Sikh Regiment,88,17,0
185,Sandeep Verma,42,Lieutenant Colonel,Para SF,62,19,0
186,Ravi Deshmukh,51,Colonel,Mechanised Infantry,66,19,0
187,Deepak Rathore,48,Lieutenant,Rajput Regiment,84,7,0
