ID,Name,Age,Rank,Unit,FitnessScore,YearsOfService
1001,Amit Singh,18,Naik,Rajput Regiment,68,0
1002,Devraj Chopra,20,Agniveer,Signals Corps,73,3
1003,Bhavesh Gupta,21,Lance Naik,Mechanised Infantry,72,0
1004,Devraj Kumar,18,Agniveer,Signals Corps,84,1
1005,Amit Nair,18,Havildar,Para SF,61,1
1006,Manoj Reddy,25,Lance Naik,Madras Regiment,94,2
1007,Bhavesh Iyer,19,Agniveer,Dogra Regiment,66,0
1008,Rohit Kumar,25,Agniveer,Maratha Light Infantry,80,2
1009,Sandeep Gupta,24,Naik,Grenadiers,77,0
1010,Rohit Yadav,27,Agniveer,Mechanised Infantry,62,1
1011,Vikram Kumar,27,Lance Naik,Sikh Regiment,98,1
1012,Karan Gupta,19,Lance Naik,Sikh Regiment,70,1
1013,Chandra Saxena,23,Naik,Sikh Regiment,98,0
1014,Vikram Verma,23,Lance Naik,Maratha Light Infantry,83,1
1015,Chandra Kumar,20,Havildar,Sikh Regiment,78,0
1016,Raj Kapoor,19,Lance Naik,Gorkha Rifles,63,2
1017,Anil Patel,18,Lance Naik,Mechanised Infantry,85,0
1018,Devraj Kapoor,23,Agniveer,Gorkha Rifles,97,2
1019,Priya Deshmukh,22,Agniveer,Madras Regiment,91,0
1020,Bhavesh Iyer,26,Lance Naik,Mechanised Infantry,98,2
1021,Farhan Nair,18,Naik,Gorkha Rifles,95,1
1022,Chandra Kapoor,24,Agniveer,Mechanised Infantry,99,2
1023,Farhan Saxena,22,Naik,Madras Regiment,96,1
1024,Eshwar Chopra,22,Lance Naik,Rajput Regiment,92,1
1025,Eshwar Yadav,19,Lance Naik,Maratha Light Infantry,95,2
1026,Chandra Reddy,20,Havildar,Maratha Light Infantry,62,0
1027,Sandeep Sharma,24,Agniveer,Sikh Regiment,68,0
1028,Manoj Kumar,23,Lance Naik,Signals Corps,67,3
1029,Manoj Reddy,19,Havildar,Sikh Regiment,92,0
1030,Arjun Sharma,23,Agniveer,Para SF,65,3
1031,Amit Verma,19,Lance Naik,Gorkha Rifles,98,0
1032,Sandeep Sharma,19,Lance Naik,Mechanised Infantry,63,0
1033,Chandra Saxena,19,Agniveer,Signals Corps,72,1
1034,Karan Nair,20,Agniveer,Madras Regiment,61,3
1035,Priya Nair,19,Agniveer,Para SF,64,0
1036,Arjun Verma,21,Lance Naik,Madras Regiment,86,3
1037,Sandeep Kapoor,26,Lance Naik,Maratha Light Infantry,91,1
1038,Farhan Kapoor,23,Havildar,Maratha Light Infantry,80,1
1039,Amit Kapoor,18,Naik,Sikh Regiment,67,3
1040,Devraj Gupta,25,Agniveer,Gorkha Rifles,97,1
1041,Farhan Yadav,24,Lance Naik,Signals Corps,67,2
1042,Eshwar Deshmukh,27,Lance Naik,Dogra Regiment,62,2
1043,Sandeep Verma,20,Agniveer,Para SF,62,1
1044,Rohit Singh,18,Naik,Para SF,81,2
1045,Karan Saxena,22,Agniveer,Sikh Regiment,65,0
1046,Vikram Patel,21,Naik,Maratha Light Infantry,61,3
1047,Anil Singh,27,Lance Naik,Sikh Regiment,82,0
1048,Vikram Malhotra,25,Naik,Mechanised Infantry,61,3
1049,Farhan Verma,18,Havildar,Signals Corps,97,1
1050,Anil Kapoor,27,Lance Naik,Gorkha Rifles,76,0
1051,Karan Nair,18,Havildar,Rajput Regiment,94,1
1052,Eshwar Singh,21,Agniveer,Grenadiers,93,1
1053,Eshwar Chopra,25,Agniveer,Grenadiers,82,3
1054,Farhan Gupta,22,Agniveer,Sikh Regiment,89,3
1055,Eshwar Reddy,19,Naik,Mechanised Infantry,67,3
1056,Chandra Sharma,23,Lance Naik,Signals Corps,81,0
1057,Eshwar Gupta,22,Agniveer,Dogra Regiment,95,2
1058,Arjun Malhotra,19,Agniveer,Grenadiers,64,3
1059,Karan Chopra,20,Lance Naik,Signals Corps,72,3
1060,Arjun Gupta,26,Agniveer,Gorkha Rifles,88,0
1061,Anil Sharma,24,Havildar,Madras Regiment,90,3
1062,Chandra Kapoor,24,Lance Naik,Mechanised Infantry,75,0
1063,Chandra Malhotra,23,Lance Naik,Maratha Light Infantry,89,1
1064,Priya Malhotra,25,Lance Naik,Signals Corps,75,3
1065,Farhan Malhotra,21,Havildar,Gorkha Rifles,71,3
1066,Raj Sharma,25,Lance Naik,Dogra Regiment,76,1
1067,Amit Sharma,21,Havildar,Rajput Regiment,75,1
